image_id,egg,length.px,width.px,id
499883 - 1,5,65.64,37.33,others
499883 - 1,6,67.06,36.55,others
499883 - 2,1,70.44,32.15,others
499883 - 2,2,68.85,38.24,others
499883 - 2,3,66.71,36.4,others
499882 - 1,1,76.43,33.56,others
499882 - 1,2,71.94,31.42,others
499882 - 2,1,73.76,34.09,others
499882 - 2,2,74.3,42.25,others
499882 - 2,3,66.83,34.73,others
499882 - 2,4,63.77,37.53,others
499880 - 1,1,66.25,29.64,others
499880 - 1,2,64.07,29.85,others
499880 - 2,1,68.93,38.91,others
499879 - 1,1,70.8,31.54,others
499879 - 2,1,72.26,31.8,others
499887 - 1,1,71.44,40.88,others
499887 - 1,2,66.24,30.63,others
499887 - 2,1,72.01,33,others
499887 - 2,2,79.4,35.36,others
499887 - 2,3,78.39,44.27,others
499886 - 1,1,70.41,30.81,others
499886 - 1,2,65.62,28.44,others
499886 - 1,3,78.31,42.05,others
499886 - 1,4,75.18,44.29,others
499886 - 1,5,80.78,46.53,others
499886 - 1,6,79.7,44.92,others
499886 - 2,1,73,43.05,others
499886 - 2,2,78.16,35.44,others
499886 - 2,3,75.03,41.79,others
499885 - 1,1,63.13,40.61,others
499885 - 2,1,72.01,33.24,others
499884 - 1,1,68.88,36.8,others
499884 - 2,1,70.46,32.02,others
499884 - 2,2,76.92,34.44,others
499884 - 2,3,67.6,31.06,others
499891 - 1,1,72.92,40.31,others
499891 - 1,2,72.44,32.25,others
499891 - 1,3,77.47,34.71,others
499891 - 2,1,68.01,31,others
499891 - 2,2,65.76,30.41,others
499890 - 1,1,67.78,38.9,others
499890 - 1,2,69.84,31.91,others
499890 - 1,3,66.19,37,others
499889 - 1,1,70.58,40.2,others
499889 - 2,1,69.34,38.42,others
499888 - 1,1,68.88,38.83,others
499888 - 1,2,77.79,36.07,others
499888 - 1,3,62.1,36.14,others
499888 - 1,4,80.28,43.93,others
499888 - 1,5,69.84,37.58,others
499888 - 1,6,57.63,32.02,others
499888 - 1,7,65.8,37.64,others
499888 - 2,1,73.78,32.45,others
499888 - 2,2,61.72,33.3,others
499905 - 1,1,64.78,35.51,others
499905 - 1,2,74.25,38.47,others
499905 - 1,3,76.69,35.44,others
499905 - 1,4,72.11,40.85,others
499905 - 2,1,70.29,38.42,others
499905 - 2,2,71.87,36.06,others
499905 - 2,3,74,40,others
499905 - 2,4,72.28,31.32,others
499905 - 2,5,68.82,30.61,others
499905 - 2,6,70,37.2,others
499904 - 1,1,82.46,37.16,others
499904 - 1,2,68.15,40.8,others
499904 - 1,3,75.64,32.2,others
499904 - 1,4,78.49,35.61,others
499904 - 1,5,71.69,32.7,others
499904 - 1,6,71.31,33.24,others
499904 - 2,1,63.25,37.2,others
499904 - 2,2,71.22,32.56,coop
499904 - 2,3,70.94,39.62,others
499904 - 2,4,84.1,46.1,others
499903 - 1,1,70.11,41.19,others
499903 - 1,2,70.38,33.62,others
499903 - 2,1,71.84,32.31,others
499903 - 2,2,68.01,39.92,others
499902 - 1,1,68.68,38.33,others
499902 - 1,2,78.77,44.78,others
499902 - 1,3,73.59,41.87,others
499902 - 1,4,68.96,38.28,others
499902 - 1,5,76.84,42.8,others
499902 - 2,1,64.2,30,others
499908 - 1,1,71.02,40.22,others
499907 - 1,1,75.69,34.06,others
499907 - 1,2,61,33.06,others
499907 - 2,1,78.77,42.49,others
499907 - 2,2,65,36.24,others
499907 - 2,3,78.85,36.4,others
499907 - 2,4,77.25,33.53,others
499907 - 2,5,86.12,36.88,others
499906 - 2,1,76.24,41.21,others
499906 - 2,2,72.45,40.85,others
500612 - 2,1,62.43,35.36,others
500612 - 2,2,78.57,36.12,others
500612 - 2,3,73.11,42.64,others
500611 - 2,1,76.94,42.58,others
500611 - 2,2,81.3,37.05,others
500610 - 1,1,75.13,36.24,others
500610 - 1,2,78.79,46.52,others
500610 - 1,3,80.92,37.54,others
500610 - 2,1,87.69,41.01,others
500609 - 1,1,72.9,33.11,coop
500608 - 1,1,67.23,35.61,others
500608 - 2,1,71.84,32.98,others
500619 - 2,1,71.7,35.9,coop
500619 - 2,2,72.44,37.66,others
500618 - 1,1,75.17,40.2,others
500618 - 2,1,77.67,34.41,others
